Model,Accuracy,Precision,Recall,F1,ROC AUC
Logistic Regression,0.8008635784417084,0.4709080068740574,0.6692418880526342,0.5528244400527009,0.8194874839239433
Random Forest,0.853686709876147,0.7078731381092309,0.34820316004585555,0.4667913938260056,0.8303851668833864
Decision Tree,0.8432265930822049,0.6297984224364592,0.3581717589592783,0.4566453785784641,0.7928589147492594
